370757.42533970304;290423.324332924;___
370762.048927866;290446.75051294966;___
370779.15620406903;290461.0836362548;___
370796.72583908826;290479.4238693014;___
370796.7461711399;290479.72013633966;___
370798.8835135643;290510.8642688095;___
370902.4518884147;290503.3124081433;___
370912.1614235569;290488.51692602184;___
370912.31554316235;290480.50270653935;___
370909.8496294755;290429.33499753586;___
370950.6913249149;290427.6396818761;___
370912.1614235569;290488.36280641635;___


