370924.96055835293;290417.3091319612;___
370917.4304381353;290431.2068136677;___
370912.9325490886;290442.9816005651;___
370912.8744086602;290443.1716476692;___
370910.0112915434;290459.4300761787;___
370913.49136920396;290467.90457037993;___
370924.09436024225;290466.4205470975;___
370924.8325337967;290466.1698389404;___
370933.9084240735;290456.7996529608;___
370938.7001968581;290446.9652076693;___
370941.450125722;290436.5147697649;___
370931.85142323456;290416.4003148675;___


370757.42533970304;290423.324332924;___
370762.048927866;290446.75051294966;___
370762.3586891897;290470.49024458724;___
370775.6831884568;290486.94803802035;___
370791.6865846246;290492.8618812048;___
370804.808978282;290485.4312913986;___
370805.92621818866;290470.9190729812;___
370797.1018345733;290461.55314530304;___
370780.57207774685;290454.94713985274;___
370763.60873231775;290456.44032060046;___


